Model,Price,year,kms
NISSAN SENTRA AUT 2.0,31.800.000,2013,93036
JEEP WRANGLER SPORT 3.8 MEC 4X4 SUPERCHARGER,86.900.000,2010,57199
NISSAN TIIDA EMOTION 1.8 HB MEC FE,24.900.000,2013,95336
NISSAN TIIDA SEDAN MEC 1.8 EMOTION,19.900.000,2008,88288
NISSAN VERSA SENSE 1.6 MEC 4P FE,45.500.000,2019,23873
PEUGEOT 308 ALLURE 1.6 T AUT,56.500.000,2018,50150
VOLKSWAGEN VOYAGE HIGHLINE 1.6 MEC SEDAN,45.500.000,2018,42447
RENAULT STEPWAY INTENS MEC 1.6,58.500.000,2022,004
HONDA CR-V EXL AUT 2.4 4X4 CUTY PLUS,78.500.000,2016,37501
CHEVROLET AVEO 1.6 SEDAN MEC,26.200.000,2012,92793
CHEVROLET SPARK LIFE 1.0 MEC,31.500.000,2019,37964
VOLKSWAGEN VOYAGE TRENDELINE 1.6 MEC,38.500.000,2019,22146
AUDI Q3 ATRACCION 1.4 T AUT GSL,88.500.000,2018,30954
CHEVROLET SAIL LTZ SEDAN MEC 1.4 FE,37.500.000,2017,51732
VOLKSWAGEN VENTO CONFORTLINE 1.6 MT 4P FE,37.500.000,2016,69853
MG 350 STD 1.5 MEC 4P FE,32.500.000,2014,112110
KIA CERATO PRO 1.6 SEDAN ZENITH AUT SX,58.500.000,2018,36426
FORD RANGER LIMITED 3.2 AUT D/C 4X4 DIESEL,137.800.000,2020,36114
KIA RIO R 1.250 CC MEC SEDAN,38.500.000,2016,77017
VOLVO XC60 AUT 3.0 PREMIUM FE,53.200.000,2011,62711
RENAULT DUSTER DYNAMIQUE 2.0 4X2 AUT,50.500.000,2016,64332
RENAULT DUSTER DYNAMIQUE 2.0 AUT 4X2,56.500.000,2019,53026
VOLKSWAGEN JETTA 2.5 AUT TECHO,34.800.000,2011,109239
VOLKSWAGEN CROSSFOX 1.6 MEC FE,37.200.000,2014,117114
BMW 220I SPORTLINE COUPE 2.0 AUT,115.500.000,2020,20498
NISSAN VERSA SENSE MEC 1.6 SEDAN,51.500.000,2020,21506
NISSAN VERSA SENSE 1.6 MEC 4P FE,38.500.000,2018,78489
RENAULT KWID OUTSIDER 1.0 MEC 5P,43.250.000,2022,0014
RENAULT KWID ICONIC MEC 1.0 5P,42.390.000,2022,010
RENAULT STEPWAY INTENS 1.6 MEC,62.190.000,2022,005
FORD FUSION TITANIUM 2.0 AUT SEDAN,64.500.000,2016,32945
KIA CERATO PRO EX MEC 1.6,47.500.000,2016,21964
VOLKSWAGEN GOL TRENDLINE MEC 1.6,39.200.000,2019,41656
SEAT IBIZA REFERENCE MEC 1.4 HB,30.500.000,2013,69008
CHEVROLET SONIC LT MEC 1.6 SEDAN TECHO,42.500.000,2017,27216
FORD EXPLORER LIMITED 3.5 AUT 4X4,88.500.000,2016,56380
MG ZS COMFORT 1.5 AUT FE,77.600.000,2019,6711
FORD ESCAPE 2.0 SE AUT 4X2,57.900.000,2013,50887
AUDI Q3 AMBITION 1.4 AUT,86.900.000,2017,31184
VOLKSWAGEN BETLEE 2.5 AUT DESING,68.500.000,2018,13184
KIA RIO R SEDAN 1.4 AUT,48.500.000,2017,54500
VOLVO XC60 T5 RDESING 2.0 AUT 4X4,147.500.000,2019,27035
VOLKSWAGEN VOYAGE HIGLINE 1.6 MEC,42.500.000,2017,41490
RENAULT SEANDERO POLAR 1.6 MEC FE,42.500.000,2019,18626
MAZDA CX5 GRND TOURING 2.5 AUT 4X4,104.500.000,2018,36819
